,title,product_type,vendor,tags
74,Misfit T200 3-in-1 Grooming Kit for Men,Trimmers,simba,"120 min Runtime with 5 Length Settings, Cord/Cordless Usage, Titanium Blades, USB Charging"
75,Misfit T30 Trimmer,Trimmers,simba,Titanium Coated Trimming Range 0.5 - 12 mm Water Resistant Yes Charging Time 1 hour
76,Misfit T50 Lite,Trimmers,simba,Titanium Coated Trimming Range 0.5 - 20 mm Water Resistant Yes Charging Time 1 hour
77,Misfit T50 Trimmer,Trimmers,simba,Titanium Coated Trimming Range 0.5 - 20 mm Water Resistant Yes Charging Time 1 hour
78,Nirvana Ion,Wireless Earbuds,simba,ENx™ Technology BEAST™ Mode\nDual EQ Modes
79,Rockerz 103 Pro,NeckBand,simba,"ENx™ Technology, Single Press Voice Assistant, Up To 20 Hours Uninterrupted, Wireless Earphones with 10 mm Drivers"
80,Rockerz 103 V2 Pro,NeckBand,simba,BEAST™ Mode ASAP™️ Charge\nENx™️ Technology
81,Rockerz 235 Pro,NeckBand,simba,Voice Assistant BEAST™ Mode\nENx™ Technology
82,Rockerz 235 V2,NeckBand,simba,10mm Drivers Fast Charging
83,Rockerz 245 Pro,NeckBand,simba,ENx™ Technology ASAP Charge\nIPX4 Water Resistance
84,Rockerz 245 V2,NeckBand,simba,IPX5 Water Resistance ASAP Charge\nBluetooth v5.0
85,Rockerz 255,NeckBand,simba,10mm Drivers IPX5 Water Resistance\nboAt Signature Audio
86,Rockerz 255 Neo,NeckBand,simba,BEAST™ Mode ENx™ Technology\nASAP Charge
87,Rockerz 255 Pro+,NeckBand,simba,10mm Drivers boAt Signature Sound\nASAP Charge
88,Rockerz 255F,NeckBand,simba,IPX5 Water Resistance 110 mAh Battery\nboAt Signature Audio
89,Rockerz 260,NeckBand,simba,10mm Drivers ENx™Technology\nFast Charging
90,Rockerz 330,NeckBand,simba,boAt Signature Audio Metallic Control Panel\nIPX5 Water Resistance
91,Rockerz 330 Pro,NeckBand,simba,10mm Drivers ENx™ Technology\nMagnetic Earbuds
92,Rockerz 333,NeckBand,simba,ASAP™ Charge Bluetooth v5.0\n10mm Dynamic Drivers
93,Rockerz 333 ANC,NeckBand,simba,25 Hours Playback ASAP Charge\nPowered by Dirac
94,Rockerz 333 Pro,NeckBand,simba,ASAP Charge IPX5 Water Resistance\nMagnetic Earbuds
95,Storm,smart watch,simba,2.5D Curved Display SpO2 Monitor\nWater Resistant
96,Storm Call,smart watch,simba,2.5D Curved Display Save Upto 10 Contacts
97,Vertex,smart watch,simba,HD Display 24*7 Health Tracker\nUp to 10 Days Battery Life
98,Watch Flash,smart watch,simba,LCD Display Round Dial\n24*7 Monitoring
99,Watch Mercury,smart watch,simba,100 Watch Faces IP68 Sweat Resistance\nMultiple Sports Mode
100,Watch Mercury F,smart watch,simba,"1.54"" (3.91 Cms)Square Display Battery Capacity 200 mAh Bluetooth Version V5.0 Working Temperature -10 to 50 degree Charging Time About 3 hours Working Time upto 7 days"
101,Wave Arcade,smart watch,simba,"1.81"" (4.59 cm) Display Bluetooth Calling Smart Watch with 100+ Sports Modes, IP68 Dust and Water Resistance, Save up to 50 contacts"
102,Wave Beat,smart watch,simba,"10+ Sports Mo, 7 Day Battery Life, Best Fitness Tracker Smartwatch with 1.69"" (4.29 cm) HD Display"
103,Wave Call,smart watch,simba,HD Curved Display Save upto 10 contacts
104,Wave Connect,smart watch,simba,Talking Back Alexa HD Display
105,Wave Neo,smart watch,simba,2.5D Curved Display Light Weight (35gms)\n10 Sports Modes
106,Wave Pro,smart watch,simba,"100+ Watch Faces, Control Your Music & Camera, Live Cricket Scores, Smartwatch with 1.69"" (4.29 cm) HD Display"
107,Wave Pro 47,smart watch,simba,HD Display Live Scores Fast Charge
108,Wave Select,smart watch,simba,2.5D Curved Body 20+ Sports Modes\n5ATM Water Resistant
109,Wave Stride Voice,smart watch,simba,100+ Sports Modes 100+ Watch Faces\n10 Days Battery Life
110,Wave Style,smart watch,simba,10+ Sports Mode 100+ Watch Faces\nBluetooth v5.0
111,WCD 2.0A,Chargers,simba,"Compatible with all USB to type C, Micro USB and LTG powered devices including Quick Charge 2.0 etc."
112,WCD 20W PD Wall Charger,Chargers,simba,"Auto-Detect Charging, Intelligent Voltage & Current Managemen"
113,WCD 22.5W QCPD,Chargers,simba,"18W QC 3.0, Dual Output Ports : 22.5W Type C PD"
114,WCD 36W QC Charger,Chargers,simba,36W Charging Support Quick Charge 3.0 Fast Charging technology
115,WCD QC3.0 With Micro USB Cable,Chargers,simba,in-built smart IC Protection
116,WCD QC3.0 With Type C Cable,Chargers,simba,"Fast Charger with Quick Charge 3.0, Smart IC protection, Spark protection"
117,WCD QC3A - Made In India,Chargers,simba,"Compatible with all USB to type C, Micro USB and LTG powered devices including Quick Charge 2.0 etc."
118,WCD QC3A with Micro USB Cable - Made In India,Chargers,simba,boAt WCD Q3A comes with exclusive Smart IC optimum smart charging technology
119,WCD QC3A with Type C Cable - Made In India,Chargers,simba,boAt WCD Q3A comes with exclusive Smart IC optimum smart charging technology
120,WCD QCPD,Chargers,simba,"Auto Detect Dual Port, High Power Quick Charger with Type C Cable, LED Indicator, QC 3.0 & GaN Chip Technology"
121,Xtend‌,smart watch,simba,LCD Display Health Monitoring
